"","Country Name","Year","FSI","Rule of Law","Voice.Accountability","No violence Index","CorruptionPI","Human Development Index","Life_Satisfaction","Healthcare_Exp","GDP Per Capita","Unemployment Rate","FSI (Year+4)"
"219","Romania","2009",61.3,0.0454078,0.4642873,0.3602153,3.8,0.806,5.368,5.27841282,8548.11867218639,6.86,57.4
"220","Romania","2010",60.2,0.0906951,0.432124,0.2736004,3.7,0.805,4.909,5.76906252,8214.07689289811,6.96,56.9
"221","Romania","2011",59.8,0.0927155,0.3761372,0.1860907,3.61,0.806,5.023,4.69901562,9099.2175388969,7.18,54.2
"222","Romania","2012",59.5,0.0802307,0.3185296,0.0823416,44,0.803,5.167,4.7180357,8507.10477456436,6.79,52.9
"223","Romania","2013",57.4,0.1670062,0.3115235,0.1791331,43,0.808,5.082,5.19262123,9547.85215096612,7.1,50.9
"224","Romania","2014",56.9,0.208449,0.4281268,0.0491361,43,0.811,5.727,5.03005028,10043.6774497614,6.8,49.4
"225","Romania","2015",54.2,0.1953149,0.4861361,0.1891144,46,0.815,5.777,4.94264841,8969.14892146193,6.81,47.8
"226","Singapore","2006",30.8,1.586578,-0.3871925,1.250259,9.4,0.881,6.463,2.9347465,33769.1541633501,4.48,34.8
"227","Singapore","2007",33,1.612359,-0.3632097,1.174122,9.3,0.882,6.834,2.83749056,39432.9383493761,3.9,35.1
"228","Singapore","2008",33.3,1.606087,-0.3348355,1.345581,9.2,0.888,6.642,3.19488454,40007.469261214,3.96,34
"229","Singapore","2009",33.8,1.566005,-0.2342208,1.179446,9.2,0.888,6.145,3.39853096,38927.2068817715,5.86,35.9
"230","Singapore","2010",34.8,1.625962,-0.2089662,1.169415,9.3,0.909,6.531,3.20265365,47236.9602345421,4.12,34.4
"231","Singapore","2011",35.1,1.66993,-0.1020272,1.191422,9.17,0.913,6.561,3.15792179,53890.4287270504,3.89,32.9
"232","Singapore","2013",34,1.705421,0.0367684,1.378178,86,0.921,6.533,3.68562651,56967.4257940383,3.86,32.5
"233","Singapore","2014",35.9,1.824715,-0.0986594,1.186271,84,0.926,7.062,3.87155676,57562.5307937678,3.74,30.4
"234","Singapore","2015",34.4,1.813336,-0.1618217,1.311753,85,0.931,6.62,4.18069839,55646.6187469505,3.79,28.1
"235","Slovenia","2006",36.8,0.9102269,1.069615,1.084757,6.4,0.876,5.811,7.82322741,19672.9655554146,5.95,34
"236","Slovenia","2009",36.3,1.075426,1.055124,0.9348058,6.6,0.885,5.83,8.540802,24694.2304876707,5.86,32.3
"237","Slovenia","2010",36,1.008413,1.048638,0.8665088,6.4,0.889,6.083,8.56503296,23509.5431355463,7.24,32.6
"238","Slovenia","2011",35.5,1.052815,1.056918,0.9692097,5.87,0.891,6.036,8.53639603,25095.1322896197,8.17,31.5
"239","Slovenia","2012",34,1.014948,0.9997781,0.9351107,61,0.884,6.063,8.71509933,22643.1002515007,8.84,33.9
"240","Slovenia","2013",32.3,1.000704,1.001897,0.8822517,57,0.893,5.975,8.74028301,23496.602499332,10.1,32.4
"241","Slovenia","2014",32.6,1.001441,0.9561069,0.9657734,58,0.894,5.678,8.50197506,24214.9220717273,9.67,30.3
"242","Slovenia","2015",31.5,0.9744548,0.9868262,0.9533927,60,0.894,5.741,8.49823952,20881.7669299329,8.96,28
"243","Spain","2007",39.2,1.168316,1.123087,-0.2753482,6.7,0.86,6.995,7.9183569,32549.9709785513,8.23,43.1
"244","Spain","2008",41.6,1.193509,1.185326,-0.3808494,6.5,0.863,7.294,8.3818779,35366.2596011983,11.25,42.8
"245","Spain","2009",43.3,1.162589,1.176973,-0.4737767,6.1,0.865,6.199,9.10707188,32042.4740786617,17.86,44.4
"246","Spain","2010",43.5,1.16339,1.122543,-0.3180437,6.1,0.872,6.188,9.1185751,30502.7197080776,19.86,43.1
"247","Spain","2011",43.1,1.177302,1.085866,0.0211045,6.23,0.878,6.518,9.16859245,31636.4463142558,21.39,40.9
"248","Spain","2012",42.8,1.043725,1.064179,-0.0295164,65,0.881,6.291,9.15699196,28324.4293363918,24.79,39.8
"249","Spain","2013",44.4,1.031751,0.9888706,0.0120178,59,0.882,6.15,9.06737709,29059.5479522321,26.09,37.9
"250","Spain","2014",43.1,0.9682609,0.9937256,0.2431217,60,0.888,6.456,9.09010506,29461.5503337389,24.44,41.4
"251","Spain","2015",40.9,0.9148642,1.044831,0.2514912,58,0.895,6.381,9.12686825,25732.0183647454,22.06,40.7
"252","Sweden","2007",19.3,1.90989,1.510136,1.271177,9.3,0.91,7.241,7.99017382,53700.0053363063,6.16,22.8
"253","Sweden","2008",19.8,1.931482,1.520167,1.129976,9.3,0.907,7.516,8.20660114,56152.552340314,6.24,21.3
"254","Sweden","2009",20.6,1.965965,1.546039,1.085468,9.2,0.905,7.266,8.77319241,46946.9602719954,8.35,19.7
"255","Sweden","2010",20.9,1.937768,1.542726,1.09417,9.2,0.911,7.496,8.32738972,52869.0442891587,8.61,21.4
"256","Sweden","2011",22.8,1.927869,1.612955,1.230688,9.3,0.912,7.382,10.42150974,60755.7595508465,7.8,20.2
"257","Sweden","2012",21.3,1.935624,1.690358,1.170597,88,0.914,7.56,10.73550034,58037.8213192173,7.98,22.6
"258","Sweden","2013",19.7,1.959462,1.65811,1.127778,89,0.933,7.434,10.90368462,61126.9431963979,8.05,22.1
"259","Sweden","2014",21.4,1.979652,1.611089,1.065415,87,0.935,7.239,10.94807339,60020.3604576572,7.95,20.8
"260","Sweden","2015",20.2,2.026205,1.56531,0.9471064,89,0.938,7.289,10.79714203,51545.4836095322,7.43,20.3
"261","Switzerland","2006",18.7,1.817233,1.518006,1.269325,9.1,0.92,7.473,9.81838131,59300.6172165015,4,22.3
"262","Switzerland","2009",21.2,1.750544,1.553312,1.307553,9,0.935,7.525,10.37947655,72083.167695454,4.12,21.8
"263","Switzerland","2012",23.3,1.818963,1.640122,1.418336,86,0.944,7.776,10.61796474,86547.6708907265,4.49,21.1
"264","Switzerland","2014",23.3,1.994871,1.559489,1.402653,86,0.942,7.493,10.99387455,89684.7075795936,4.83,19.2
"265","Switzerland","2015",22.3,1.945031,1.558501,1.339359,86,0.947,7.572,11.36931515,84776.1421659748,4.8,18.7
"266","United Kingdom","2007",34.1,1.737427,1.335596,0.5753913,8.4,0.899,6.802,8.87322426,50444.9301546348,5.26,34.1
"267","United Kingdom","2008",32.9,1.708199,1.321023,0.4946935,7.7,0.903,6.986,9.16623402,47267.0121770864,5.62,35.3
"268","United Kingdom","2009",33.6,1.738985,1.303301,0.1215835,7.7,0.906,6.907,10.01600361,38736.9021994994,7.54,33.2
"269","United Kingdom","2010",33.9,1.78198,1.289994,0.4118182,7.6,0.912,7.029,9.98915195,39536.7726806835,7.79,34.3
"270","United Kingdom","2011",34.1,1.667915,1.297412,0.3517076,7.78,0.906,6.869,9.97346497,42047.6142522206,8.04,33.4
"271","United Kingdom","2012",35.3,1.736444,1.339133,0.4022707,74,0.904,6.881,10.0517683,42449.1076656792,7.89,32.4
"272","United Kingdom","2013",33.2,1.697654,1.329037,0.4862014,76,0.921,6.918,9.97855186,43401.3105295842,7.52,33.2
"273","United Kingdom","2014",34.3,1.87901,1.27579,0.4153476,78,0.925,6.758,9.95758438,47452.1991368626,6.11,34.3
"274","United Kingdom","2015",33.4,1.805544,1.297837,0.5177479,81,0.923,6.515,9.90435219,45039.2359520486,5.3,36.7
"275","United States","2009",34,1.59849,1.097206,0.4484303,7.5,0.912,7.158,16.28372383,47099.9804711343,9.25,33.5
"276","United States","2010",35.3,1.638123,1.133606,0.4384039,7.1,0.916,7.164,16.34537888,48466.6576026922,9.63,35.4
"277","United States","2011",34.8,1.599985,1.126966,0.5912473,7.14,0.919,7.115,16.29982948,49882.5581321495,8.95,35.4
"278","United States","2012",34.8,1.627198,1.161587,0.6324421,73,0.92,7.026,16.28528976,51602.9310457907,8.07,34
"279","United States","2013",33.5,1.557142,1.103019,0.6430726,73,0.918,7.249,16.21042252,53106.5367672165,7.38,35.6
"280","United States","2014",35.4,1.610409,1.071223,0.5824196,74,0.92,7.151,16.40644836,55049.9883272312,6.17,37.7
